arm	cancer_type	discovery	replication	seed	n_common	n_dis_tested	n_rep_tested	n_dis_joint	n_rep_joint	rep_joint	repdir_joint	n_dis_fdr	n_rep_fdr	rep_fdr	repdir_fdr	n_dis_lfc	n_rep_lfc	rep_lfc	repdir_lfc	n_dis_topp100	n_rep_topp100	rep_topp100	repdir_topp100	n_dis_topp500	n_rep_topp500	rep_topp500	repdir_topp500	n_dis_topfc100	n_rep_topfc100	rep_topfc100	repdir_topfc100	n_dis_topfc500	n_rep_topfc500	rep_topfc500	repdir_topfc500	gene_sign_conc	gene_bothsig_fdr	gene_bothsig_sign	pi1	rep_median_abs_lfc	dis_median_abs_lfc	lfc_shrinkage	spearman_lfc	spearman_stat	pearson_lfc	global_sign_conc	status
cross_full	LIHC	SRP137150	SRP049592	-1	15464	15802	16728	3330	3949	0.3831831831831832	0.32972972972972975	5080	7695	0.5338582677165354	0.43681102362204727	4022	4112	0.4196916956737941	0.3416210840377921	100	100	0.05	0.05	500	500	0.122	0.12	100	100	0.23	0.22	500	500	0.24	0.232	0.7546546546546546	0.5816816816816817	0.4945945945945946	0.7489489489489489	0.7540913794989166	1.523850127458684	0.5051407182958928	0.3276942706090666	0.32804286672393373	0.3632941734302427	0.6127133988618727	ok
cross_full	LIHC	SRP137150	SRP102722	-1	15011	15802	15433	3242	55	0.012029611351017891	0.0006169031462060457	4991	61	0.008815868563414146	0.0004007212983370066	3814	914	0.1515469323544835	0.015207131620346093	100	100	0.01	0.0	500	500	0.056	0.0	100	61	0.08	0.0	500	61	0.04	0.0	0.22486119679210365	0.012646514497223937	0.0006169031462060457	0.33110073147087316	0.3978984213987483	1.5090597181023502	0.7363269215753055	-0.38917176500043876	-0.3721852112703218	-0.4389511394814961	0.3729931383651989	ok
cross_full	LIHC	SRP137150	SRP039694	-1	15457	15802	16625	3336	1688	0.28627098321342925	0.28117505995203834	5086	2884	0.33149823043649235	0.32579630357845063	4029	2541	0.3899230578307272	0.3688260114172251	100	100	0.13	0.13	500	500	0.204	0.204	100	100	0.34	0.33	500	500	0.396	0.392	0.9058752997601919	0.3965827338129496	0.3893884892086331	0.7550531003768413	0.7954758969333238	1.5255201454401535	0.4785543151881435	0.5989334197865015	0.6161509599146772	0.6210130994482778	0.7297664488581226	ok
cross_full	LIHC	SRP137150	SRP076032	-1	13261	15802	13305	2808	212	0.04665242165242165	0.046296296296296294	4544	379	0.04401408450704225	0.042693661971830985	3134	523	0.10816847479259732	0.097319719208679	100	100	0.03	0.03	500	500	0.09	0.09	100	100	0.1	0.1	500	379	0.11	0.108	0.655982905982906	0.06125356125356125	0.06018518518518518	0.3892450142450141	0.33864695423567137	1.4517572081090548	0.7667330650441431	0.18988739953363967	0.1759551368637719	0.3188062890483145	0.5479978885453586	ok
cross_full	LIHC	SRP050551	TCGA-LIHC	-1	15843	15968	16307	3043	3204	0.6805783766020375	0.6772921459086428	6343	11267	0.8910610121393663	0.8710389405644017	3325	3204	0.6676691729323309	0.6631578947368421	100	100	0.25	0.25	500	500	0.396	0.396	100	100	0.53	0.53	500	500	0.598	0.598	0.9671376930660532	0.9181728557344726	0.9069996713769306	0.9723956621754847	1.3398796268640456	1.6135474801875773	0.16960632189870073	0.7857542944945518	0.7969538309144476	0.8363052633553659	0.8102632077258095	ok
cross_full	LIHC	SRP050551	SRP068976	-1	15773	15968	16012	2999	3705	0.7802600866955652	0.7802600866955652	6298	10846	0.9152111781517942	0.9125119085423944	3274	3705	0.7620647525962125	0.7605375687232743	100	100	0.28	0.28	500	500	0.462	0.462	100	100	0.51	0.51	500	500	0.612	0.612	0.9823274424808269	0.93297765921974	0.9309769923307769	0.9744359230854729	1.549628698143274	1.599121489707999	0.03094998840504759	0.8475523581164977	0.8684265482514751	0.8767383363757202	0.8454954669371711	ok
cross_full	LIHC	SRP050551	SRP174991	-1	15622	15968	15733	2944	2356	0.5699728260869565	0.5675951086956522	6242	8209	0.7412688240948414	0.7359820570330022	3197	2375	0.5636534250860181	0.5598999061620269	100	100	0.19	0.19	500	500	0.418	0.418	100	100	0.46	0.46	500	500	0.582	0.582	0.9728260869565217	0.8485054347826086	0.8444293478260869	0.9377264492753623	1.1222955802741097	1.5894885045498799	0.29392658263236227	0.7553137955771535	0.7634276740180536	0.824377262191377	0.7780693893227499	ok
cross_full	LIHC	SRP050551	SRP099053	-1	15794	15968	16117	2994	3310	0.6840347361389446	0.6826987307949232	6293	8829	0.7780073097092007	0.7705386937867472	3268	3372	0.6814565483476133	0.6762545899632803	100	100	0.24	0.24	500	500	0.428	0.428	100	100	0.43	0.43	500	500	0.604	0.604	0.9655978623914495	0.8480293921175684	0.8440213760855043	0.9309730572255622	1.4095204723332064	1.599595919328825	0.11882716422243211	0.7537758652035195	0.7676044479711961	0.8238367230542784	0.7870077244523237	ok
cross_full	PRAD	SRP118614	SRP148500	-1	16425	17845	16653	702	275	0.15954415954415954	0.15954415954415954	5739	429	0.04809200209095661	0.047220770169018995	753	976	0.38645418326693226	0.37715803452855245	100	100	0.07	0.07	500	500	0.148	0.148	100	100	0.19	0.19	500	429	0.2	0.2	0.9373219373219374	0.17094017094017094	0.17094017094017094	0.7883597883597883	0.826052411953599	1.2437734749959224	0.33584979213654065	0.5237875640067733	0.5422170142502669	0.5355223158215562	0.6793302891933028	ok
cross_full	PRAD	SRP212704	TCGA-PRAD	-1	16292	16515	16897	1697	2043	0.657631113730112	0.6476134354743666	9267	11266	0.7896838243228661	0.7488939246789684	1705	2043	0.6557184750733138	0.6451612903225806	100	100	0.07	0.07	500	500	0.184	0.184	100	100	0.32	0.32	500	500	0.42	0.414	0.9493223335297584	0.8980553918680023	0.8744843842074249	0.954541628083172	1.2485994388167663	1.3701016253050582	0.08868114907990055	0.7185301369182109	0.7355961811678533	0.7199704666697204	0.7728332924134544	ok
