cancer_type	discovery	replication
PRAD	SRP002628	SRP118614
PRAD	SRP002628	SRP212704
PRAD	SRP002628	SRP114904
PRAD	SRP002628	SRP027258
PRAD	SRP002628	SRP148500
PRAD	SRP148500	TCGA-PRAD
PRAD	SRP148500	SRP119917
PRAD	SRP148500	SRP118614
PRAD	SRP148500	SRP212704
PRAD	SRP148500	SRP114904
PRAD	SRP148500	SRP027258
PRAD	SRP148500	SRP002628
STAD	TCGA-STAD	SRP172499
STAD	TCGA-STAD	SRP133891
STAD	SRP172499	TCGA-STAD
STAD	SRP172499	SRP133891
STAD	SRP133891	TCGA-STAD
STAD	SRP133891	SRP172499
THCA	TCGA-THCA	ERP012979
THCA	TCGA-THCA	SRP076801
THCA	ERP012979	TCGA-THCA
THCA	ERP012979	SRP076801
THCA	SRP076801	TCGA-THCA
THCA	SRP076801	ERP012979
UCEC	TCGA-UCEC	SRP040442
UCEC	SRP040442	TCGA-UCEC
