arm	cancer_type	discovery	replication	seed	n_common	n_dis_tested	n_rep_tested	n_dis_joint	n_rep_joint	rep_joint	repdir_joint	n_dis_fdr	n_rep_fdr	rep_fdr	repdir_fdr	n_dis_lfc	n_rep_lfc	rep_lfc	repdir_lfc	n_dis_topp100	n_rep_topp100	rep_topp100	repdir_topp100	n_dis_topp500	n_rep_topp500	rep_topp500	repdir_topp500	n_dis_topfc100	n_rep_topfc100	rep_topfc100	repdir_topfc100	n_dis_topfc500	n_rep_topfc500	rep_topfc500	repdir_topfc500	gene_sign_conc	gene_bothsig_fdr	gene_bothsig_sign	pi1	rep_median_abs_lfc	dis_median_abs_lfc	lfc_shrinkage	spearman_lfc	spearman_stat	pearson_lfc	global_sign_conc	status
cross_m10	PRAD	SRP148500	SRP212704	2	16187	16653	16515	265	1841	0.660377358490566	0.6566037735849056	420	5327	0.7023809523809523	0.6976190476190476	890	2050	0.6494382022471911	0.6146067415730337	100	100	0.09	0.09	500	500	0.172	0.172	100	100	0.23	0.23	420	500	0.2	0.2	0.9358490566037736	0.7433962264150943	0.7358490566037735	0.8490566037735849	1.4321215318981986	1.5251949062586283	0.061023921584384855	0.5654189934214262	0.5806628143636848	0.5960322951443924	0.7035275220856243	ok
cross_m10	PRAD	SRP148500	SRP212704	3	15843	16007	16515	271	1639	0.6051660516605166	0.5977859778597786	450	6195	0.6844444444444444	0.6777777777777778	828	1789	0.6219806763285024	0.5857487922705314	100	100	0.1	0.1	500	500	0.122	0.122	100	100	0.17	0.17	450	500	0.16444444444444445	0.1622222222222222	0.915129151291513	0.7195571955719557	0.7084870848708487	0.9114391143911439	1.241678026658881	1.5190551644143906	0.1825984626848236	0.5399945565536438	0.5677860356055203	0.5725348068378703	0.6948810200088367	ok
cross_m10	PRAD	SRP148500	SRP212704	4	16187	16653	16515	265	1883	0.6264150943396226	0.6150943396226415	419	5497	0.665871121718377	0.6563245823389021	890	2037	0.601123595505618	0.5617977528089888	100	100	0.04	0.04	500	500	0.126	0.126	100	100	0.17	0.17	419	500	0.18377088305489261	0.18377088305489261	0.9245283018867925	0.7358490566037735	0.7245283018867924	0.9245283018867925	1.307555698644684	1.5251949039278279	0.1426959955889301	0.5239228001677597	0.5231170373294737	0.5575538266531929	0.6825847902637919	ok
cross_m10	PRAD	SRP148500	SRP114904	0	2	16653	2	0	0			0	0			0	0			2	2	1.0	1.0	2	2	1.0	1.0	0	0			0	0														ok
cross_m10	PRAD	SRP148500	SRP119917	4	16456	16653	16788	277	1236	0.5234657039711191	0.516245487364621	431	3085	0.5359628770301624	0.5290023201856149	963	1674	0.5835929387331257	0.5514018691588785	100	100	0.18	0.18	500	500	0.18	0.178	100	100	0.16	0.16	431	500	0.1925754060324826	0.18793503480278423	0.9458483754512635	0.6028880866425993	0.5956678700361011	0.927797833935018	1.1841442521751593	1.559089849825208	0.2404900510974941	0.4808288779590122	0.4704539849823782	0.5603251354456854	0.6494287797763734	ok
cross_m10	PRAD	SRP148500	SRP118614	0	13734	16653	13886	201	487	0.35323383084577115	0.35323383084577115	351	1575	0.3646723646723647	0.3646723646723647	567	633	0.3862433862433862	0.36860670194003525	100	100	0.09	0.09	500	500	0.194	0.194	100	100	0.25	0.25	351	500	0.23646723646723647	0.23646723646723647	0.8656716417910447	0.42786069651741293	0.42786069651741293	0.7557666214382632	0.9137390703143611	1.4734283426187231	0.37985510127328403	0.5201382981639212	0.5298491024187579	0.5436872329323705	0.6797728265618174	ok
cross_m10	PRAD	SRP148500	SRP118614	1	13449	16653	13526	190	484	0.4	0.4	338	1645	0.39644970414201186	0.39644970414201186	519	592	0.43545279383429675	0.4238921001926782	100	100	0.08	0.08	500	500	0.19	0.19	100	100	0.2	0.2	338	500	0.26331360946745563	0.26331360946745563	0.9157894736842105	0.4842105263157895	0.4842105263157895	0.894736842105263	0.9711227085523249	1.4423027363331782	0.3266859418007848	0.5650334550183672	0.5523351599697751	0.6115706747852703	0.6900141274444197	ok
cross_m10	PRAD	SRP148500	SRP118614	2	15058	16653	15325	241	1252	0.4896265560165975	0.4854771784232365	395	3621	0.4860759493670886	0.4810126582278481	724	1544	0.47099447513812154	0.43922651933701656	100	100	0.05	0.05	500	500	0.118	0.118	100	100	0.22	0.21	395	500	0.21265822784810126	0.21012658227848102	0.8423236514522822	0.5186721991701245	0.5103734439834025	0.7233748271092669	1.114632163136747	1.519055164613682	0.26623325531419106	0.47813307420454715	0.48848439123919146	0.5124375013575483	0.6557975826803029	ok
cross_m10	LIHC	SRP161530	SRP174991	1	15386	15823	15733	2779	1059	0.27743792731198275	0.27671824397265204	4733	1758	0.2670610606380731	0.26642721318402707	3332	1911	0.42316926770708285	0.4144657863145258	100	100	0.1	0.1	500	500	0.284	0.284	100	100	0.3	0.3	500	500	0.41	0.408	0.9514213745951782	0.3501259445843829	0.3494062612450522	0.8470672903922274	0.9070652600270716	1.6994184114555324	0.46624959814918066	0.7069344496040685	0.7216702928519029	0.7470142785925036	0.7720005199532042	ok
cross_m10	LIHC	SRP161530	SRP174991	2	15386	15823	15733	2779	883	0.20151133501259447	0.20043181000359842	4733	1399	0.18994295372913586	0.18867525882104375	3332	1717	0.3556422569027611	0.3394357743097239	100	100	0.1	0.1	500	500	0.2	0.2	100	100	0.22	0.22	500	500	0.344	0.344	0.9172364159769701	0.258006477150054	0.25620726880172723	0.7409139978409499	0.7857058906008266	1.6994184114717459	0.5376618934471926	0.5972363861943345	0.6130693595793271	0.665344442491246	0.7237098661120499	ok
